id,search_section_id,concert_id,section_title,concert_title,sorted_index,created_at,updated_at
180,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
185,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
7,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
181,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
182,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
183,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
184,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
187,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
190,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
188,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
189,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
186,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
8,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
9,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
193,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
194,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
195,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
192,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
191,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
10,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
196,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
197,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
198,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
199,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
200,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-09 23:54:32.502,2025-09-09 23:54:32.502
